gene	vegrepl1-mrna-Jan2017-rpkm	0hr mrna rpkm	1.5 hr mrna rpkm	3hr mrna rpkm	4.5hr mrna rpkm	6hr mrna rpkm	8hr mrna rpkm	10hr mrna rpkm	spore mrna rpkm	MATa/a mrna rpkm
YAL060W	1777.776834	10468.67104	733.4512306	665.8057242	429.258679	294.4993613	472.7215099	640.6130327	1060.795206	1897.424753
YAL061W	28.03020715	8445.558296	580.7036986	519.7656249	742.5537346	622.6821577	635.2787798	541.4005941	451.3128949	70.56857537
YAL062W	11.26574097	1763.924656	2426.190604	1572.555999	1197.954019	1523.367519	735.4105815	1408.203047	2836.244103	42.46619643
YAL063C	16.27788703	3.808810586	4.322078476	2.654587808	2.334463905	4.519496579	5.348097202	23.28415704	14.90396052	7.175266668
YAL063C-A	0	0	0	0	0	0	0	0	0	0
YAL064C-A	0	0	0	0	0	0	0	0	0	0
YAL064W	0	0	0	0	0	0	0	0	0	0
YAL064W-B	0	0	0	0	0	0	0	0	0	0
YAL065C	352.5986439	387.0854901	170.3483118	272.2722228	305.0097178	396.5356081	792.888737	3024.87342	3540.763953	245.4192269
YAL066W	1.292402971	3.844866452	1.259420706	9.786793605	13.6855212	11.66356828	4.023384134	3.934996123	26.61564034	0
YAL067C	16.63237064	190.6959983	120.1934953	129.5346356	506.9560859	667.389493	385.7191734	330.5876621	823.8664725	10.20742356
YAL067W-A	0	0	0	5.802170495	2.897699641	4.115970098	0.851890008	5.832226396	4.080846332	0
YAL068C	1.062073729	12.63857091	37.25890168	32.17045027	47.79769903	40.62177222	18.89340216	24.25282264	44.4987336	1.84160337
YAL068W-A	4.950897535	697.1630154	104.5319186	150.7969234	75.51851064	48.22650503	47.70584044	135.6665586	119.5374064	5.723136627
YAL069W	9.157147879	159.5619577	73.93721073	75.94710972	33.64158607	9.557081789	4.072449794	41.82133074	47.37763059	1.134158173
YAR002C-A	1351.595027	635.0565918	1013.959611	922.2356595	872.2075919	1138.872462	908.7962605	900.2041443	892.3994759	1342.934009
YAR002W	290.6589428	182.2688517	129.6597837	149.6513667	102.7457423	66.22279275	42.10957839	86.83287838	185.0192945	164.003634
YAR003W	220.0736803	78.40882445	169.5112194	193.3296514	351.9530321	306.2686271	264.7849965	251.7744909	119.2235466	103.5121363
YAR007C	253.5621636	260.8122366	1007.118153	749.7843577	453.1193578	238.6879776	84.39654497	225.4223319	147.0370058	163.1379145
YAR008W	195.2639145	52.35626739	419.3526579	356.8637051	202.0466351	119.208784	57.58244022	91.21966598	153.2442815	183.8222301
YAR009C	275.6783467	1430.936889	193.3639213	262.9820742	160.3964166	154.9845028	125.7254049	280.4859175	342.0576921	142.5457746
YAR010C	80.99937803	330.5211982	117.8650715	96.42654774	57.74701427	12.70070773	18.49818303	109.9791263	79.67366649	19.92877933
YAR014C	201.0136151	172.9744122	193.3083017	157.2808651	101.5958691	75.62886275	105.3676824	109.4599012	184.588311	152.9798568
YAR015W	1347.408902	2232.755478	346.0115773	369.2633385	310.2658884	294.101122	371.8395996	276.8173797	1036.468613	1807.524083
YAR018C	109.3323206	59.06860936	28.89704481	48.68616139	70.89612246	44.87990473	24.08227522	41.02186162	43.94757589	125.1936137
YAR019C	26.73311862	341.5127138	124.7815573	130.2521457	153.817786	96.05941524	48.05551676	77.71823363	66.84326586	25.12486943
YAR019W-A	5.645760346	13.43679644	5.501679927	6.840453636	7.259500153	5.823014539	2.008666966	3.437943981	10.4240566	0
YAR020C	23.8376548	141.8328513	66.78428134	139.8967775	58.59792607	11.52471628	30.4787314	63.5064652	61.36383744	5.166720566
YAR023C	55.64602541	905.5141102	156.1445534	193.5990888	147.0582568	106.0273897	79.01279824	148.5030646	134.7359431	33.13159563
YAR027W	176.2993219	6100.290033	183.8987457	279.793555	157.3880194	144.0589534	188.6147581	183.3371168	174.9222033	144.2376158
YAR028W	167.1407656	256.7834297	51.05047188	63.72492369	255.2940772	376.9386272	341.2631749	242.2950985	65.19231102	111.1686016
