gene	veg exp fp rpkm 	0hr fp rpkm	1.5hr fp rpkm	3hr fp rpkm	4.5hr fp rpkm	6hr fp rpkm	8hr fp rpkm	10hr fp rpkm	spore fp rpkm	MATa/a fp rpkm
YAL005C	1217.706264	6778.377648	3671.8223	7324.460256	6210.92979	4001.409922	2056.769512	2324.105788	3555.371913	2586.032593
YAL007C	494.348115	10.90803844	424.7065194	203.0797724	157.7863809	85.73396219	34.98577519	111.7048222	78.54737501	85.38597426
YAL008W	102.5845836	329.6543281	525.3052165	477.6396361	439.0738925	476.7155545	482.8756044	619.6809413	646.1289516	445.1896236
YAL009W	45.98799585	8.908231391	48.12853504	41.40014394	35.84795846	39.93103942	23.28065781	33.97688343	45.70475383	25.13590986
YAL010C	14.2183117	29.76927959	40.07774233	37.40542074	38.75454969	16.34077563	15.89550092	28.98669438	39.78739397	42.9024513
YAL011W	32.0743404	26.81289448	50.72379767	39.86116901	42.84743942	43.54340933	52.38671875	70.7832537	82.56547505	44.6361095
YAL012W	2238.679359	400.2290199	487.9994799	346.9877454	203.5905677	117.9770765	110.3926465	209.1114272	541.4008735	176.9568054
YAL013W	176.7892513	205.2456513	352.4917996	489.5133187	433.4696383	354.4563499	402.7553801	435.3695447	413.7482979	403.0664772
YAL014C	77.80779858	92.40402731	188.0916273	196.1391169	172.0964749	192.4700205	218.4579446	163.2973037	182.6559297	155.8453898
YAL015C	77.62482392	36.00800899	52.25264178	49.94634447	46.91340225	23.83770775	14.03522911	30.27788603	29.37258418	71.18284831
YAL016C-A	4.596405623	0	2.246154285	0	0	0	0	0	0	0
YAL016C-B	0	0	0	0	0	0	0	0	0	0
YAL016W	394.9756269	988.4666105	649.7894626	673.2071	529.4777438	352.9219069	354.5696408	465.4972057	717.9051559	721.2226505
YAL017W	30.31754083	59.16611425	73.68461252	66.17229283	74.55250695	75.50816729	105.9319794	115.380972	100.3226813	106.0333071
YAL018C	6.703091534	9.78158741	7.799146822	112.3836243	4395.981764	5199.722781	3238.819501	846.9123778	107.5405973	6.041521663
YAL019W-A	0	0	0	0.69996721	8.662781695	0.772236057	6.971747794	0	0	0
YAL019W	103.0316148	35.76110156	76.83281799	63.34955038	46.97943613	36.12564718	32.88830665	64.39099915	80.99138506	54.42516571
YAL020C	96.74043205	12.2559107	53.20309711	54.38121047	51.59045149	34.70143553	12.13236365	46.95871508	61.89983422	32.22684971
YAL021C	194.750212	186.6154684	295.0205579	282.3571886	252.5204766	150.8598066	161.3449457	199.3753551	224.4361609	195.3142866
YAL022C	88.06316296	18.03111896	46.00556969	29.62913411	17.89868761	21.61640688	19.20930509	32.07588269	25.89066588	28.52578966
YAL023C	366.2760731	79.7407091	423.9009144	306.0890396	215.3496058	146.7144151	55.94221951	103.7043417	110.0034758	92.17230766
YAL024C	11.72635262	5.435531018	20.62940429	11.8490212	10.29075613	7.695092343	5.500309498	9.624285532	9.105615542	9.345226194
YAL025C	504.0231027	202.6234652	63.19754652	31.09610428	25.38625554	103.8348063	176.0982289	176.3145801	176.3484358	46.7855083
YAL026C-A	13.95337421	0	8.333945462	3.777600816	13.53333481	37.50860846	22.17205506	11.52510071	13.74579063	6.177796587
YAL026C	31.94863153	16.96297954	42.22887743	34.64732904	101.1795429	134.8176181	107.0251253	44.64848434	27.6562015	20.1009594
YAL027W	31.88518984	53.00765786	57.59250966	76.95300671	92.5625195	120.4305321	141.6779326	97.857117	117.6912321	68.35144778
